counter;start;end;duration in ms
633;104345685046400;104345688443000;3
634;104345728063200;104345731211600;3
635;104345768370800;104345771568600;3
636;104345810652600;104345813935800;3
637;104345855566400;104345858652700;3
638;104345896210400;104345899396000;3
639;104345937415000;104345940535300;3
640;104345980192600;104345983363100;3
641;104346022303100;104346025502900;3
642;104346065369100;104346068542600;3
643;104346105709100;104346108812100;3
644;104346147530200;104346150708500;3
645;104346188143400;104346191219300;3
646;104346230460900;104346234195100;3
647;104346273223300;104346277079500;3
648;104346318772300;104346322408500;3
649;104346361529200;104346364694000;3
650;104346401988400;104346405328800;3
651;104346445089600;104346448292400;3
652;104346485893800;104346489079700;3
653;104346527793500;104346531559500;3
654;104346572439600;104346575525200;3
655;104346612958200;104346616170100;3
656;104346655351800;104346658974400;3
657;104346702253800;104346706271000;4
658;104346746820300;104346750063300;3
659;104346790294900;104346793640100;3
660;104346831331800;104346834516600;3
661;104346871462900;104346874582700;3
662;104346913648800;104346916918800;3
663;104346954464900;104346957645900;3
664;104346995708700;104346999116500;3
665;104347040532000;104347043753100;3
666;104347081461500;104347084666300;3
667;104347121523500;104347124676600;3
668;104347162252900;104347165446500;3
669;104347203650500;104347206812400;3
670;104347248856700;104347252637600;3
671;104347293956200;104347297093400;3
672;104347336091400;104347339614400;3
673;104347376837700;104347380001100;3
674;104347418259500;104347421372600;3
675;104347459966600;104347463135000;3
676;104347501852500;104347508608500;6
677;104347550371800;104347554151100;3
678;104347589987300;104347593134400;3
679;104347629395400;104347632501100;3
680;104347671428900;104347674862300;3
681;104347714940900;104347718700400;3
682;104347759335200;104347762775400;3
683;104347798362600;104347801493600;3
684;104347838960000;104347842290200;3
685;104347879953300;104347883146600;3
686;104347921292200;104347924635400;3
687;104347961855700;104347965204000;3
688;104348006186600;104348009351000;3
689;104348046654200;104348049833200;3
690;104348088923200;104348092081800;3
691;104348130397600;104348133650200;3
692;104348169587700;104348172753900;3
693;104348210257900;104348213529000;3
694;104348254467900;104348259243400;4
695;104348297159500;104348300365100;3
696;104348337722000;104348340935700;3
