counter;start;end;duration in ms
272;104330087616200;104330128567200;40
273;104330128569300;104330174594100;46
274;104330174595600;104330215694000;41
275;104330215695600;104330257288100;41
276;104330257290100;104330298768900;41
277;104330298770700;104330342877000;44
278;104330342879000;104330388654000;45
279;104330388656900;104330433349400;44
280;104330433351400;104330475748900;42
281;104330475750700;104330520430700;44
282;104330520432200;104330565598100;45
283;104330565599800;104330613157500;47
284;104330613159400;104330658772600;45
285;104330658774600;104330702865300;44
286;104330702866800;104330746122600;43
287;104330746124300;104330787267000;41
288;104330787268400;104330833393800;46
289;104330833395700;104330876588200;43
290;104330876590100;104330919812000;43
291;104330919814000;104330963811500;43
292;104330963813700;104331005182400;41
293;104331005184100;104331048953000;43
294;104331048954800;104331091662200;42
295;104331091663800;104331133889800;42
296;104331133891500;104331176958300;43
297;104331176960000;104331220544300;43
298;104331220545900;104331265769100;45
299;104331265770800;104331307341000;41
300;104331307342600;104331352408300;45
301;104331352410100;104331395087800;42
302;104331395089800;104331439435200;44
303;104331439436900;104331483650100;44
304;104331483651600;104331526729100;43
305;104331526730600;104331570482100;43
306;104331570483700;104331611783100;41
307;104331611785000;104331654468300;42
308;104331654470100;104331698950800;44
309;104331698952300;104331741491100;42
310;104331741492900;104331782444600;40
311;104331782452900;104331826729900;44
312;104331826731400;104331869222400;42
313;104331869224100;104331915648900;46
314;104331915650700;104331958544400;42
315;104331958545900;104332003171600;44
316;104332003173500;104332046257700;43
317;104332046260800;104332088305700;42
318;104332088307400;104332129593800;41
319;104332129595400;104332176691700;47
320;104332176698800;104332219990000;43
321;104332220009500;104332262136500;42
322;104332262137900;104332304211100;42
323;104332304212600;104332347563500;43
324;104332347565100;104332391633100;44
325;104332391634800;104332436237000;44
326;104332436238900;104332478266900;42
327;104332478268800;104332517545000;39
328;104332517546500;104332560065900;42
329;104332560067300;104332604028200;43
330;104332604029900;104332646712700;42
331;104332646714500;104332687114400;40
332;104332687115800;104332729419400;42
333;104332729420900;104332772536800;43
334;104332772538100;104332817933200;45
335;104332817934600;104332860881600;42
